,predictions,labels
0,39,37
1,41,42
2,46,44
3,44,47
4,45,54
5,55,58
6,48,43
7,34,11
8,13,44
9,23,37
10,24,42
11,30,41
12,30,27
13,23,35
14,25,41
15,30,37
16,34,35
17,34,34
18,31,37
19,34,39
20,36,43
21,39,47
22,40,43
23,42,37
24,37,44
25,43,41
26,41,45
27,40,47
28,41,44
29,41,35
30,34,4
31,12,3
32,11,34
33,23,39
34,25,39
35,26,41
36,31,37
37,28,32
38,30,37
39,35,37
40,33,40
41,32,37
42,32,42
43,32,41
44,33,44
45,36,37
46,32,35
47,35,39
48,38,42
49,41,41
50,41,42
51,40,44
52,41,49
53,46,45
54,40,29
55,28,3
56,11,3
57,6,4
58,6,7
59,6,3
60,6,5
61,5,3
62,6,7
63,6,8
64,7,10
65,6,10
66,6,4
67,6,19
68,7,15
69,7,7
70,6,20
71,7,9
72,8,5
73,8,8
74,8,20
75,10,13
76,19,20
77,21,19
78,20,23
79,28,21
80,26,13
81,9,5
82,7,7
83,9,3
84,6,3
85,6,31
86,8,10
87,7,7
88,14,15
89,13,11
90,10,7
91,10,10
92,11,14
93,11,16
94,12,9
95,13,5
96,10,8
97,9,8
98,12,3
99,14,19
100,18,5
101,21,18
102,17,16
103,18,14
104,17,9
105,6,4
106,5,4
107,5,8
108,5,3
109,5,3
110,5,7
111,5,8
112,6,9
113,6,13
114,7,13
115,6,8
116,6,45
117,8,7
118,6,117
119,12,7
120,5,3
121,5,4
122,5,4
123,4,5
124,4,5
125,5,4
126,5,9
127,5,9
128,5,4
129,5,11
130,6,11
131,6,17
132,7,5
133,6,11
134,7,9
135,7,7
136,8,11
137,8,11
138,10,17
139,17,24
140,22,23
141,20,23
142,25,34
143,30,4
144,6,4
145,5,11
146,6,3
147,5,5
148,6,7
149,6,10
150,6,11
151,7,13
152,9,13
153,8,9
154,8,11
155,7,11
156,7,7
157,7,13
158,7,11
159,8,8
160,8,14
161,9,13
162,12,10
163,16,20
164,24,19
165,20,32
166,23,34
167,27,29
168,13,9
169,6,5
170,5,3
171,5,11
172,5,8
173,5,7
174,7,7
175,9,5
176,6,5
177,7,9
178,6,4
179,6,4
180,6,11
181,6,13
182,6,10
183,7,11
184,7,13
185,9,10
186,13,24
187,27,40
188,31,37
189,23,27
190,23,32
191,20,5
192,7,3
193,6,5
194,5,3
195,5,8
196,5,7
197,5,4
198,6,3
199,6,8
200,7,5
201,8,9
202,6,13
203,7,10
204,6,11
205,6,11
206,6,7
207,6,3
208,6,7
209,7,5
210,8,16
211,10,14
212,17,18
213,14,13
214,12,10
215,10,3
216,6,3
217,5,5
218,5,4
219,5,7
220,5,11
221,6,7
222,7,3
223,7,4
224,7,5
225,6,5
226,6,5
227,7,8
228,7,5
229,6,20
230,7,15
231,7,13
232,7,9
233,8,3
234,9,5
235,14,20
236,22,21
237,21,27
238,27,35
239,30,42
240,21,24
241,14,22
242,10,26
243,8,17
244,7,16
245,7,23
246,7,20
247,7,22
248,7,23
249,7,24
250,7,21
251,7,11
252,7,14
253,7,32
254,9,3
255,8,9
256,15,14
257,21,14
258,24,19
259,24,26
260,23,5
261,6,8
262,5,14
263,5,7
264,5,7
265,6,5
266,6,11
267,6,9
268,8,8
269,7,11
270,6,13
271,6,13
272,6,9
273,6,21
274,7,5
275,6,8
276,7,8
277,8,3
278,9,17
279,14,9
280,19,18
281,17,17
282,24,20
283,20,21
284,23,3
285,5,3
286,4,4
287,5,3
288,4,5
289,5,4
290,6,8
291,6,3
292,8,7
293,6,11
294,6,8
295,6,5
296,5,13
297,6,7
298,6,8
299,7,3
300,6,3
301,7,10
302,8,10
303,18,14
304,26,19
305,22,19
306,23,19
307,26,29
308,27,8
309,7,7
310,5,3
311,5,3
312,5,9
313,5,3
314,5,4
315,6,4
316,6,5
317,6,8
318,6,5
319,6,7
320,6,5
321,5,17
322,6,7
323,6,11
324,6,9
325,7,11
326,7,14
327,10,11
328,16,24
329,17,27
330,21,27
331,21,31
332,21,26
333,29,27
334,27,29
335,31,39
336,38,43
337,38,37
338,33,31
339,29,27
340,17,17
341,13,13
342,12,15
343,13,20
344,24,29
345,29,51
346,34,26
347,20,24
348,16,22
349,15,20
350,19,24
351,25,35
352,34,37
353,35,40
354,35,45
355,37,47
356,33,18
357,17,15
358,13,5
359,8,20
360,10,13
361,18,15
362,12,18
363,14,21
364,21,23
365,27,3
366,34,18
367,28,24
368,25,32
369,27,24
370,24,33
371,33,33
372,34,39
373,35,44
374,44,50
375,53,56
376,50,51
377,57,51
378,48,45
379,36,40
380,29,35
381,48,29
382,40,26
383,37,27
384,35,42
385,52,40
386,37,26
387,28,32
388,40,31
389,48,26
390,30,29
391,35,24
392,38,43
393,55,54
394,58,35
395,30,31
396,29,20
397,21,18
398,26,29
399,38,37
400,52,44
401,53,44
402,52,47
403,54,53
404,53,31
405,47,26
406,40,26
407,28,27
408,23,24
409,27,39
410,35,35
411,40,29
412,36,20
413,27,27
414,33,27
415,27,27
416,31,41
417,47,50
418,49,40
419,33,34
420,25,21
421,18,20
422,24,34
423,35,37
424,45,40
425,41,34
426,43,47
427,47,51
428,43,17
429,24,23
430,21,20
431,21,20
432,20,17
433,18,21
434,17,20
435,21,19
436,22,17
437,18,15
438,17,17
439,17,23
440,20,32
441,32,42
442,41,39
443,30,27
444,19,26
445,19,23
446,21,33
447,36,47
448,44,73
449,56,68
450,50,63
451,42,66
452,51,11
453,12,5
454,9,10
455,9,10
456,8,11
457,10,13
458,11,11
459,10,13
460,11,9
461,12,16
462,15,19
463,18,21
464,19,27
465,26,39
466,32,44
467,33,47
468,37,58
469,40,56
470,41,56
471,43,60
472,50,64
473,41,58
474,34,51
475,32,44
476,28,35
477,48,29
478,36,32
479,39,44
480,56,49
481,52,37
482,29,29
483,29,34
484,36,31
485,38,31
486,29,22
487,29,34
488,35,45
489,50,59
490,55,35
491,23,21
492,25,13
493,18,24
494,23,32
495,37,37
496,44,41
497,44,45
498,43,45
499,47,53
500,47,27
501,34,29
502,28,24
503,22,22
504,22,23
505,20,3
506,31,16
507,53,54
508,40,37
509,21,22
510,20,17
511,28,23
512,40,31
513,45,40
514,43,44
515,47,58
516,50,21
517,31,22
518,32,21
519,27,24
520,29,49
521,34,44
522,43,37
523,37,35
524,38,31
525,42,33
526,38,31
527,36,33
528,44,45
529,66,44
530,31,29
531,28,20
532,19,32
533,19,16
534,33,20
535,38,35
536,40,40
537,38,43
538,42,37
539,43,40
540,39,29
541,36,27
542,36,23
543,29,20
544,30,22
545,23,17
546,21,20
547,19,17
548,19,17
549,16,17
550,15,17
551,15,23
552,18,29
553,30,29
554,38,32
555,34,29
556,21,19
557,18,16
558,24,27
559,33,34
560,42,37
561,39,43
562,40,50
563,43,47
564,38,29
565,30,24
566,25,24
567,22,21
568,19,23
569,20,24
570,20,35
571,27,29
572,26,29
573,28,27
574,24,29
575,23,27
576,29,50
577,42,47
578,27,35
579,23,24
580,18,23
581,16,21
582,37,29
583,36,43
584,42,41
585,45,50
586,44,50
587,45,54
588,44,51
589,50,54
590,62,66
591,67,56
592,58,59
593,62,51
594,45,49
595,45,53
596,43,54
597,41,71
598,56,81
599,64,93
600,75,107
601,86,114
602,94,124
603,98,130
604,86,117
605,88,122
606,89,133
607,99,135
608,90,152
609,125,147
610,82,33
611,24,27
612,32,39
613,32,34
614,19,35
615,20,41
616,25,37
617,33,44
618,32,47
619,36,58
620,64,47
621,61,51
622,68,70
623,62,80
624,67,93
625,67,68
626,71,101
627,81,103
628,80,98
629,83,108
630,91,108
631,67,103
632,63,101
633,63,113
634,66,81
635,64,94
636,76,413
637,176,56
638,68,64
639,74,65
640,70,70
641,88,68
642,91,67
643,96,66
644,81,51
645,66,47
646,62,44
647,54,54
648,61,71
649,81,87
650,91,107
651,102,117
652,114,127
653,117,131
654,116,127
655,111,129
656,117,146
657,124,156
658,135,166
659,142,215
660,179,166
661,144,53
662,45,60
663,60,59
664,68,68
665,75,68
666,81,58
667,65,56
668,59,56
669,57,56
670,65,56
671,62,97
672,95,108
673,102,122
674,112,133
675,118,127
676,108,126
677,112,130
678,107,133
679,105,161
680,129,146
681,120,136
682,112,50
683,43,44
684,35,41
685,29,40
686,34,42
687,36,40
688,28,40
689,34,45
690,43,42
691,51,50
692,52,59
693,50,67
694,63,88
695,78,101
696,86,103
697,80,122
698,95,124
699,88,126
700,92,131
