,predictions,labels
0,39,37
1,41,42
2,47,44
3,46,47
4,46,54
5,56,58
6,49,43
7,34,11
8,13,44
9,20,37
10,22,42
11,30,41
12,29,27
13,22,35
14,24,41
15,28,37
16,32,35
17,33,34
18,31,37
19,33,39
20,35,43
21,37,47
22,39,43
23,39,37
24,35,44
25,42,41
26,40,45
27,42,47
28,43,44
29,42,35
30,36,4
31,12,3
32,10,34
33,21,39
34,22,39
35,24,41
36,29,37
37,27,32
38,28,37
39,33,37
40,31,40
41,32,37
42,31,42
43,32,41
44,34,44
45,36,37
46,34,35
47,36,39
48,40,42
49,43,41
50,45,42
51,42,44
52,43,49
53,49,45
54,43,29
55,28,3
56,11,3
57,6,4
58,5,7
59,5,3
60,6,5
61,5,3
62,6,7
63,6,8
64,7,10
65,6,10
66,6,4
67,6,19
68,7,15
69,7,7
70,6,20
71,7,9
72,8,5
73,7,8
74,8,20
75,10,13
76,18,20
77,20,19
78,19,23
79,25,21
80,24,13
81,9,5
82,7,7
83,9,3
84,6,3
85,6,31
86,8,10
87,7,7
88,14,15
89,12,11
90,10,7
91,9,10
92,11,14
93,11,16
94,11,9
95,13,5
96,10,8
97,9,8
98,11,3
99,13,19
100,17,5
101,20,18
102,16,16
103,17,14
104,16,9
105,6,4
106,5,4
107,6,8
108,5,3
109,5,3
110,5,7
111,5,8
112,6,9
113,6,13
114,6,13
115,6,8
116,6,45
117,8,7
118,6,117
119,12,7
120,5,3
121,5,4
122,5,4
123,4,5
124,4,5
125,5,4
126,5,9
127,5,9
128,5,4
129,5,11
130,6,11
131,6,17
132,7,5
133,6,11
134,7,9
135,7,7
136,8,11
137,8,11
138,10,17
139,17,24
140,23,23
141,21,23
142,24,34
143,29,4
144,5,4
145,5,11
146,5,3
147,5,5
148,6,7
149,6,10
150,6,11
151,7,13
152,8,13
153,8,9
154,8,11
155,7,11
156,7,7
157,7,13
158,7,11
159,8,8
160,8,14
161,9,13
162,12,10
163,16,20
164,24,19
165,20,32
166,22,34
167,26,29
168,12,9
169,5,5
170,5,3
171,5,11
172,5,8
173,5,7
174,7,7
175,8,5
176,6,5
177,7,9
178,6,4
179,5,4
180,6,11
181,6,13
182,6,10
183,7,11
184,7,13
185,9,10
186,13,24
187,28,40
188,30,37
189,22,27
190,22,32
191,19,5
192,7,3
193,6,5
194,5,3
195,5,8
196,5,7
197,5,4
198,6,3
199,6,8
200,6,5
201,7,9
202,6,13
203,7,10
204,6,11
205,6,11
206,6,7
207,5,3
208,6,7
209,6,5
210,7,16
211,10,14
212,16,18
213,14,13
214,12,10
215,10,3
216,5,3
217,5,5
218,5,4
219,5,7
220,6,11
221,6,7
222,7,3
223,7,4
224,7,5
225,6,5
226,6,5
227,6,8
228,7,5
229,6,20
230,7,15
231,7,13
232,7,9
233,7,3
234,9,5
235,14,20
236,22,21
237,21,27
238,26,35
239,28,42
240,20,24
241,13,22
242,7,26
243,9,17
244,7,16
245,6,23
246,7,20
247,7,22
248,7,23
249,7,24
250,7,21
251,7,11
252,7,14
253,7,32
254,8,3
255,7,9
256,15,14
257,20,14
258,24,19
259,24,26
260,22,5
261,5,8
262,5,14
263,5,7
264,5,7
265,6,5
266,6,11
267,6,9
268,8,8
269,7,11
270,6,13
271,7,13
272,6,9
273,6,21
274,7,5
275,6,8
276,7,8
277,8,3
278,9,17
279,14,9
280,19,18
281,16,17
282,25,20
283,20,21
284,23,3
285,5,3
286,4,4
287,4,3
288,4,5
289,5,4
290,6,8
291,6,3
292,8,7
293,6,11
294,6,8
295,6,5
296,5,13
297,6,7
298,6,8
299,6,3
300,6,3
301,6,10
302,8,10
303,17,14
304,26,19
305,21,19
306,22,19
307,25,29
308,25,8
309,6,7
310,5,3
311,5,3
312,4,9
313,5,3
314,5,4
315,6,4
316,5,5
317,6,8
318,6,5
319,5,7
320,5,5
321,5,17
322,6,7
323,6,11
324,6,9
325,6,11
326,7,14
327,10,11
328,16,24
329,17,27
330,22,27
331,22,31
332,22,26
333,30,27
334,28,29
335,28,39
336,44,43
337,39,37
338,32,31
339,28,27
340,16,17
341,12,13
342,12,15
343,12,20
344,24,29
345,29,51
346,35,26
347,20,24
348,16,22
349,16,20
350,19,24
351,27,35
352,36,37
353,36,40
354,36,45
355,38,47
356,33,18
357,18,15
358,13,5
359,8,20
360,10,13
361,19,15
362,13,18
363,14,21
364,21,23
365,26,3
366,34,18
367,27,24
368,24,32
369,26,24
370,23,33
371,33,33
372,34,39
373,37,44
374,47,50
375,57,56
376,55,51
377,62,51
378,51,45
379,36,40
380,29,35
381,50,29
382,43,26
383,38,27
384,36,42
385,54,40
386,37,26
387,28,32
388,39,31
389,48,26
390,30,29
391,34,24
392,36,43
393,54,54
394,57,35
395,30,31
396,28,20
397,20,18
398,26,29
399,40,37
400,56,44
401,58,44
402,57,47
403,59,53
404,59,31
405,53,26
406,45,26
407,30,27
408,25,24
409,28,39
410,37,35
411,42,29
412,37,20
413,27,27
414,32,27
415,26,27
416,30,41
417,47,50
418,50,40
419,34,34
420,25,21
421,18,20
422,25,34
423,37,37
424,48,40
425,43,34
426,47,47
427,49,51
428,46,17
429,27,23
430,25,20
431,24,20
432,23,17
433,20,21
434,18,20
435,22,19
436,23,17
437,18,15
438,17,17
439,17,23
440,21,32
441,33,42
442,43,39
443,31,27
444,20,26
445,20,23
446,22,33
447,39,47
448,46,73
449,60,68
450,52,63
451,44,66
452,53,11
453,13,5
454,10,10
455,10,10
456,9,11
457,10,13
458,11,11
459,10,13
460,11,9
461,12,16
462,15,19
463,17,21
464,18,27
465,25,39
466,31,44
467,34,47
468,39,58
469,43,56
470,43,56
471,47,60
472,55,64
473,45,58
474,37,51
475,34,44
476,30,35
477,50,29
478,37,32
479,42,44
480,60,49
481,55,37
482,29,29
483,29,34
484,37,31
485,39,31
486,29,22
487,30,34
488,35,45
489,51,59
490,55,35
491,23,21
492,25,13
493,18,24
494,24,32
495,39,37
496,46,41
497,48,45
498,47,45
499,50,53
500,51,27
501,39,29
502,32,24
503,25,22
504,23,23
505,20,3
506,28,16
507,51,54
508,40,37
509,21,22
510,20,17
511,29,23
512,41,31
513,47,40
514,47,44
515,50,58
516,54,21
517,33,22
518,34,21
519,30,24
520,31,49
521,37,44
522,44,37
523,37,35
524,38,31
525,41,33
526,37,31
527,34,33
528,43,45
529,64,44
530,29,29
531,28,20
532,19,32
533,19,16
534,33,20
535,39,35
536,41,40
537,41,43
538,44,37
539,45,40
540,41,29
541,36,27
542,39,23
543,33,20
544,32,22
545,24,17
546,21,20
547,19,17
548,18,17
549,15,17
550,15,17
551,14,23
552,17,29
553,29,29
554,39,32
555,35,29
556,22,19
557,19,16
558,25,27
559,35,34
560,46,37
561,42,43
562,44,50
563,49,47
564,42,29
565,34,24
566,27,24
567,24,21
568,20,23
569,21,24
570,21,35
571,28,29
572,26,29
573,28,27
574,24,29
575,23,27
576,28,50
577,41,47
578,27,35
579,23,24
580,18,23
581,16,21
582,39,29
583,38,43
584,46,41
585,49,50
586,48,50
587,49,54
588,48,51
589,54,54
590,69,66
591,75,56
592,63,59
593,64,51
594,45,49
595,44,53
596,43,54
597,39,71
598,54,81
599,62,93
600,74,107
601,86,114
602,95,124
603,101,130
604,91,117
605,95,122
606,98,133
607,108,135
608,100,152
609,137,147
610,93,33
611,23,27
612,30,39
613,31,34
614,20,35
615,21,41
616,25,37
617,33,44
618,32,47
619,36,58
620,63,47
621,58,51
622,65,70
623,60,80
624,67,93
625,67,68
626,73,101
627,83,103
628,84,98
629,91,108
630,101,108
631,74,103
632,70,101
633,68,113
634,70,81
635,67,94
636,82,413
637,184,56
638,65,64
639,66,65
640,68,70
641,87,68
642,91,67
643,94,66
644,79,51
645,65,47
646,60,44
647,51,54
648,58,71
649,77,87
650,85,107
651,97,117
652,110,127
653,115,131
654,116,127
655,111,129
656,120,146
657,129,156
658,139,166
659,144,215
660,177,166
661,146,53
662,41,60
663,58,59
664,69,68
665,77,68
666,81,58
667,63,56
668,57,56
669,56,56
670,63,56
671,59,97
672,88,108
673,97,122
674,108,133
675,115,127
676,107,126
677,113,130
678,108,133
679,108,161
680,129,146
681,122,136
682,117,50
683,41,44
684,33,41
685,28,40
686,33,42
687,35,40
688,27,40
689,32,45
690,40,42
691,47,50
692,48,59
693,46,67
694,58,88
695,72,101
696,82,103
697,78,122
698,93,124
699,88,126
700,92,131
